P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
-134.58572,-139.45784,65.6264,64.46896,-43.921543,-34.109283,-59.38398,-64.943954,-20.21747,-16.702288,1.9630117,2.1784575,-1.4285196,-1.3894747,0.3977097,0.5531741,0.60240996,0.38598385,-2.1929276,-2.1957517,-0.9303648,-0.7032947,-0.0161316,0.056312427,0.2597696,0.21300058,-0.030895935,0.15822238,1.6855072,1.4539648,0.4149377,0.3439755,0.16213562,0.2094494,0.57561123,0.6937285,0.48295215,0.5518577,0.116768755,0.24924491
-134.52518,-139.37086,65.460144,64.45293,-43.96677,-34.127213,-59.37455,-64.90854,-20.304325,-16.712456,1.9460773,2.0976846,-1.4172612,-1.4019055,0.24867216,0.4056426,0.83008903,0.6123265,-2.2160668,-2.2571504,-1.2853962,-0.9113327,-0.09842428,-0.028532855,0.08261835,0.1473418,-0.23098007,0.0028892178,1.4845208,1.4327704,0.10913477,0.22575308,-0.034211207,0.082583345,0.33746645,0.5482721,0.34128448,0.4543208,-0.13904293,0.07460973
-134.45654,-139.26564,65.295845,64.45974,-44.00552,-34.105198,-59.352695,-64.8425,-20.353224,-16.705687,1.9515865,2.0672572,-1.414595,-1.3940281,0.074023075,0.25232336,1.0350472,0.8369531,-2.193011,-2.283011,-1.5889676,-1.1257907,-0.17773223,-0.09496806,-0.028575191,0.06207128,-0.17709033,-0.12124925,1.2985455,1.3812461,-0.098538145,0.04150175,-0.07700889,-0.04666803,0.071700454,0.35731322,0.17795154,0.33313885,-0.22286746,-0.11225201
-134.3936,-139.15106,65.12657,64.46882,-44.044376,-34.05828,-59.343388,-64.76175,-20.390827,-16.690962,1.9689634,2.0573356,-1.4277232,-1.3932647,-0.12572601,0.071295604,1.1876433,1.0350528,-2.1507533,-2.2640638,-1.8361311,-1.4206706,-0.25303036,-0.17997147,-0.09950678,-0.0140459165,0.0031968083,-0.105086185,1.1061434,1.2769367,-0.19525456,-0.099986464,-0.018292043,-0.08064214,-0.20960686,0.10177483,-0.02139558,0.17831695,-0.20988327,-0.17865531
-134.32117,-139.03342,64.96843,64.47108,-44.069595,-34.01236,-59.31929,-64.68953,-20.41859,-16.677397,2.0173337,2.054294,-1.4389386,-1.4055237,-0.32727614,-0.13528688,1.315531,1.1779889,-2.0911775,-2.2215085,-1.9910743,-1.7088487,-0.29459837,-0.27133387,-0.15777954,-0.08090583,0.17160925,-0.020477261,0.91045403,1.124279,-0.214602,-0.17070854,0.035810437,-0.046507284,-0.4684867,-0.16342244,-0.20212322,-0.020241354,-0.20020072,-0.17779109
-134.28905,-138.91705,64.77528,64.48127,-44.116837,-33.9561,-59.34058,-64.60877,-20.486647,-16.658882,2.0475664,2.0877843,-1.4951422,-1.4161242,-0.55941844,-0.34454393,1.3544816,1.2930343,-2.0655234,-2.1654572,-2.0963113,-1.8952094,-0.34572354,-0.32669938,-0.27573773,-0.14102362,0.09583525,0.052316137,0.66320837,0.9513957,-0.30658552,-0.18706788,-0.08627885,-0.014982144,-0.7234742,-0.37236166,-0.4137374,-0.19694813,-0.3169869,-0.17834467
-134.24554,-138.82367,64.598694,64.4617,-44.1342,-33.949867,-59.347095,-64.56529,-20.52915,-16.662374,2.1195061,2.0998323,-1.5371842,-1.4636687,-0.75358754,-0.5784896,1.3744214,1.3212285,-2.0048852,-2.1372805,-2.0679255,-1.9200989,-0.32358602,-0.3637852,-0.25600892,-0.21947819,0.008166788,0.0046684425,0.45023337,0.79845655,-0.33368003,-0.23257478,-0.1788732,-0.093554385,-0.88411844,-0.5269507,-0.5414386,-0.36437973,-0.36505535,-0.2551971
-134.10959,-138.72311,64.50517,64.45193,-44.059753,-33.919224,-59.294834,-64.512276,-20.480799,-16.656384,2.3218358,2.1647747,-1.4909915,-1.4983233,-0.834454,-0.7711314,1.4280056,1.3319412,-1.8417836,-2.0772269,-1.8014939,-1.8621966,-0.13873127,-0.3369177,0.009522791,-0.19502527,0.085709624,-0.03591212,0.3518284,0.60469604,-0.13213697,-0.23566544,-0.034254335,-0.15053083,-0.86214936,-0.61419815,-0.5036372,-0.45428684,-0.17946912,-0.2794072
-133.96773,-138.56474,64.433235,64.50133,-43.973003,-33.774757,-59.22974,-64.39312,-20.43627,-16.60253,2.5590196,2.3650892,-1.4237425,-1.4618865,-0.89052504,-0.85198766,1.4639224,1.3810213,-1.6757215,-1.9179169,-1.4307336,-1.7349175,0.10806364,-0.17661867,0.12680562,-0.012650576,0.06804492,0.029934032,0.25625452,0.32887492,-0.0084147705,-0.112834305,0.058097437,-0.05250727,-0.7696863,-0.6192156,-0.37762517,-0.4509048,-0.020893728,-0.15366387
-133.91385,-138.40402,64.29684,64.564415,-43.95091,-33.61999,-59.229187,-64.26556,-20.47928,-16.542953,2.7275722,2.6015275,-1.4285307,-1.4070613,-1.0074012,-0.9090687,1.3985254,1.4127744,-1.5943211,-1.7516825,-1.1029195,-1.4484099,0.28003067,0.07061378,-0.12565285,0.06491445,-0.24911861,0.034200978,0.06635615,0.1396637,-0.17493096,-0.032118466,-0.15421896,0.009948289,-0.71815044,-0.588529,-0.28737494,-0.3616775,-0.072149105,-0.036681086
-133.80864,-138.30669,64.208824,64.57034,-43.87067,-33.577244,-59.176537,-64.21217,-20.473501,-16.53026,2.972998,2.7627099,-1.3850259,-1.4112004,-1.0498903,-1.0197593,1.3617634,1.3465853,-1.4575368,-1.6684755,-0.67369545,-0.95999897,0.49348518,0.26925167,-0.25544462,-0.07583584,-0.37438038,-0.15761057,-0.061619,0.15843567,-0.19616084,-0.11656175,-0.24590153,-0.119364865,-0.5696372,-0.5638575,-0.09982787,-0.25124517,0.006992327,-0.05313909
-133.71436,-138.17403,64.125854,64.61354,-43.78541,-33.46719,-59.124073,-64.10782,-20.460566,-16.488348,3.2277474,3.0040338,-1.3378757,-1.3752356,-1.074542,-1.0611166,1.3008996,1.3078557,-1.3078766,-1.5300491,-0.24149293,-0.47660318,0.6751489,0.47134978,-0.13608746,-0.15701254,-0.21518874,-0.24181685,-0.1693668,0.11921926,-0.023441771,-0.11143418,-0.108925834,-0.1733785,-0.39973047,-0.48930666,0.09548096,-0.06710544,0.2158309,0.019280558
-133.59671,-138.0424,64.060715,64.65578,-43.67122,-33.35324,-59.051697,-64.0021,-20.42543,-16.446213,3.5217195,3.2578602,-1.2755336,-1.3357841,-1.0605876,-1.0848914,1.2368479,1.2508485,-1.1315916,-1.3759342,0.19584998,-0.15260713,0.8087111,0.6157377,0.21670327,-0.08736305,0.16246173,-0.14187519,-0.24468549,-0.12466697,0.34073496,0.0010133028,0.21564245,-0.07559561,-0.20637393,-0.3992954,0.28134757,0.10367834,0.486708,0.15670682
-133.55698,-137.9021,63.94165,64.711464,-43.609383,-33.213085,-59.030144,-63.88125,-20.453146,-16.392515,3.7426183,3.545147,-1.2741828,-1.2827203,-1.1002046,-1.0732211,1.094567,1.1886556,-1.0172136,-1.194938,0.4865033,0.053537045,0.7874938,0.7048931,0.42329624,0.110536136,0.38119376,0.08699634,-0.3848919,-0.546826,0.54107857,0.20704624,0.4008189,0.12308808,-0.10813194,-0.2826035,0.3369287,0.25390413,0.5417442,0.2903448
-133.51546,-137.80469,63.843475,64.719505,-43.539505,-33.157345,-58.988903,-63.812744,-20.47514,-16.37523,3.9705596,3.7559445,-1.253064,-1.2821685,-1.128922,-1.1089435,0.95404536,1.0473362,-0.8947956,-1.0739918,0.71030116,0.21781765,0.69996935,0.68573153,0.4380331,0.1987194,0.4320244,0.18779728,-0.51221675,-0.8697883,0.5825299,0.2931211,0.4532637,0.20636453,-0.04207615,-0.2041461,0.34150106,0.29268292,0.43801665,0.30677065
-133.50192,-137.71992,63.749817,64.73367,-43.458702,-33.102135,-58.946453,-63.741947,-20.499931,-16.35688,4.1713576,3.9634097,-1.2275643,-1.2641501,-1.1429441,-1.1348608,0.7995417,0.90820384,-0.7731288,-0.9438478,0.829624,0.4173607,0.53357184,0.623989,0.22779456,0.20148088,0.22902812,0.20431118,-0.63260216,-1.0010891,0.36317623,0.29984066,0.26762173,0.22246583,-0.006039077,-0.12561546,0.2732864,0.29067454,0.17675635,0.2533962
-133.54727,-137.64146,63.62162,64.744865,-43.411873,-33.04794,-58.93978,-63.669426,-20.580305,-16.339561,4.3102536,4.1487947,-1.2375064,-1.2423298,-1.1903112,-1.1463747,0.5951012,0.7522844,-0.7062423,-0.81541073,0.81674385,0.6441199,0.25458455,0.5061249,-0.1982128,0.11027532,-0.20164986,0.11479952,-0.8001276,-0.9155871,-0.093577184,0.18775941,-0.17649364,0.13515472,-0.051677953,-0.041287754,0.09730818,0.23900785,-0.24113387,0.10188183
