P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
-133.13826912000002,64.3437956,-42.6883832,-58.3295776,-20.60831384,-132.85971,64.37681,-26.691402,-57.983616,-14.246942
-133.75532056,63.910168080000005,-43.29802504,-58.4341112,-21.1748872,-133.29703,64.14535,-27.033125,-57.8968,-14.589632
-134.19261368,63.62641464,-43.88830048,-58.31683728,-21.47074504,-133.68135,63.967907,-27.371532,-57.808044,-14.911306
-134.45593184,63.4275248,-44.47923976,-58.1738664,-21.645152640000003,-133.95377,63.862724,-27.763227,-57.742332,-15.054781
-134.50955896,63.27073016,-45.02308016,-58.03430336,-21.79954496,-134.11884,63.794598,-28.185955,-57.751297,-15.15498
-134.64425768,62.84806112,-45.67545784,-58.30397888,-22.20580968,-134.14105,63.76707,-28.545162,-57.74286,-15.257613
-134.52776576,62.55879488,-46.02778784,-58.5060744,-22.44909016,-134.09886,63.64119,-28.86854,-57.82657,-15.451785
-133.72122704,62.84119152,-45.7468724,-58.2847072,-22.15006912,-133.95901,63.591866,-29.074244,-57.852703,-15.593159
-132.8478328,63.175824080000005,-45.50640896,-58.07539616,-21.87668728,-133.5777,63.828884,-29.093105,-57.750443,-15.578674
-132.4640392,62.99412088,-45.802132,-58.3670976,-22.0794096,-133.0184,64.187325,-29.05327,-57.611816,-15.4847555
-131.70564488,63.0713228,-45.7455648,-58.28904176,-21.98600096,-132.47722,64.29756,-29.07038,-57.605476,-15.42762
-130.7515176,63.35418728,-45.395792,-57.94283288,-21.72204112,-131.73499,64.510605,-28.96408,-57.462852,-15.269567
-129.53849112,63.80962992,-44.7214708,-57.37106888,-21.3151908,-130.97298,64.78007,-28.865477,-57.31785,-15.183145
-128.78667232,63.8558636,-44.39451048,-57.21739776,-21.31343304,-130.08707,65.13466,-28.731627,-57.14566,-15.213538
-128.25212912,63.74375992,-44.27248224,-57.26138064,-21.4442948,-129.5022,65.18935,-28.7032,-57.21335,-15.36491
-128.13762744,63.32369776,-44.38001464,-57.64451272,-21.72874872,-129.00015,65.150604,-28.6417,-57.329987,-15.389405
-128.51397776,62.46228704,-44.85206904,-58.449087600000006,-22.32804096,-128.72878,64.955925,-28.51939,-57.531406,-15.347017
-128.81188663999998,61.69537352,-45.15436176,-59.06502984,-22.7158524,-128.80016,64.46974,-28.468468,-57.895237,-15.3213005
-128.70610736,61.45200712,-44.98705072,-59.16869424000001,-22.607963840000004,-128.79295,64.096375,-28.44728,-58.205383,-15.176808
-128.44872104,61.50365736,-44.620048800000006,-59.09255224,-22.271968,-128.62439,63.92362,-28.409836,-58.406162,-15.076603
-128.20137176,61.6065772,-44.24870368,-59.07916696,-21.9702328,-128.45563,63.837,-28.420639,-58.60964,-15.018491
-127.92791456,61.72986592,-43.86778184,-58.95223656,-21.59881464,-128.31927,63.852997,-28.474926,-58.82033,-14.9348755
-127.66156024,61.76772512,-43.59830752,-58.89251615999999,-21.30166792,-128.12279,63.9552,-28.465508,-58.910305,-14.717513
-127.5984104,61.58624688,-43.54981248,-59.0238784,-21.1546664,-127.86495,64.068825,-28.377132,-58.944286,-14.416214
-127.58951184,61.4425412,-43.55957368,-59.14101608,-20.95216872,-127.69139,64.10582,-28.253,-58.990177,-14.069804
-127.43872328,61.63012752,-43.26668112,-59.01339336,-20.42795968,-127.559685,64.15861,-28.131819,-59.044567,-13.654985
-127.48610432,61.8368552,-42.90515584,-58.94973768,-19.9314004,-127.36353,64.354225,-27.947468,-59.062653,-13.147156
-127.64185056,62.17342944,-42.35705,-58.844022560000006,-19.41127256,-127.317314,64.53389,-27.794422,-59.15002,-12.717974
-128.1226888,62.5167768,-41.94945992,-58.83785304,-19.03160376,-127.36548,64.78571,-27.562048,-59.208237,-12.317337
-128.83021016,62.80119440000001,-41.70550184,-58.92489024,-18.8599396,-127.63094,65.092804,-27.346521,-59.267765,-11.94951
-129.63425128,63.0657008,-41.55429672,-58.97224144,-18.76117088,-128.04018,65.44395,-27.152735,-59.316086,-11.654246
-130.15461656,63.606601440000006,-41.04151792,-58.73055672,-18.38953776,-128.51576,65.79983,-27.038225,-59.35791,-11.420119
-130.630246,64.08735136,-40.54954056,-58.47209968,-17.98508864,-128.93466,66.28511,-26.84956,-59.31939,-11.157986
-131.07673839999998,64.56377776000001,-40.07309272,-58.04856696,-17.54677984,-129.42188,66.6949,-26.77085,-59.325317,-10.937043
-131.65798904,64.81210200000001,-39.81742072,-57.8106808,-17.3471428,-129.93047,67.07823,-26.726671,-59.262466,-10.718959
-132.53734608000002,64.72256304000001,-39.89192048,-57.883932560000005,-17.4860796,-130.47305,67.30039,-26.71656,-59.24139,-10.587817
-133.64068111999998,64.4145176,-40.14408792,-58.14937072,-17.86312152,-131.07283,67.30032,-26.73963,-59.29743,-10.52782
-134.66501152,64.18335056,-40.27639512,-58.345092,-18.17677808,-131.74025,67.15499,-26.806778,-59.438297,-10.599368
-135.29601584,64.36460504,-40.01047344,-58.18309328,-18.09889384,-132.38675,67.07261,-26.906826,-59.623287,-10.697686
-135.61373168,64.71309664,-39.4007048,-57.72981304,-17.6841444,-132.9427,67.19688,-26.97337,-59.76567,-10.748962
-136.4211868,64.27971208,-39.37465088,-57.93770744,-17.845000159999998,-133.36316,67.44375,-26.913244,-59.814655,-10.709268
