P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
84.623535,84.904625,2.190374,2.405315,-116.95288,-117.03495,41.323624,45.088654,72.94521,70.70153,-3.7017908,-4.64881,1.6459675,1.2558752,5.4624953,5.646825,-0.0033770301,-0.021394145,0.1333531,0.1071668,1.7616369,1.6654842,0.7242935,1.0959493,2.0102534,2.0010498,-0.03792541,-0.07398105,-0.02871211,-0.11098768,-0.3427135,-0.2700947,-0.66435033,-0.31284836,-0.17153054,-0.28351185,-0.031756323,-0.035698477,0.16084062,0.09127892
84.74726,84.967384,2.2906892,2.5128758,-116.87481,-116.94809,41.545002,45.2841,73.19506,70.9879,-3.5798347,-4.67423,1.8261292,1.3937808,5.571311,5.7511673,0.06721156,0.034703463,0.21364698,0.18673381,1.918249,1.7990882,0.7887821,1.1511315,2.134468,2.10246,0.048413634,-0.074254416,0.0145444805,-0.111467496,0.4496315,0.26014474,0.4753793,-0.04367314,-0.051871654,-0.13908091,-0.0012044052,-0.012607115,0.21603073,0.17278628
84.8599,85.032936,2.3766506,2.6265106,-116.82364,-116.85394,41.741,45.495087,73.41824,71.28978,-3.4678583,-4.7106977,1.9917737,1.5204549,5.652637,5.8626966,0.08575133,0.10924403,0.24448384,0.26665667,2.0630772,1.957583,0.8361312,1.2167454,2.2303472,2.2182968,-0.023215452,-0.07260371,-0.056183457,-0.109707065,-0.5224888,-0.49978018,0.25444323,-0.4790479,0.028612794,-0.07467804,-0.002969139,0.004658262,0.23415853,0.19010682
84.95919,85.092476,2.4581776,2.720768,-116.76496,-116.7802,41.953594,45.689816,73.6635,71.556244,-3.368553,-4.6575136,2.1527355,1.6842983,5.7410297,5.9416156,0.09254014,0.12902354,0.2787736,0.29702592,2.1918423,2.0512571,0.8759762,1.2596779,2.3327324,2.298805,0.06616182,-0.07403857,0.08986585,-0.11151514,0.57199675,0.44710383,-0.60812014,-0.38826016,0.104464844,0.042363115,0.0071226005,0.015343432,0.2671464,0.24356942
85.037834,85.15033,2.515255,2.8152032,-116.73643,-116.70501,42.124863,45.901676,73.86772,71.849236,-3.2894967,-4.6164107,2.288786,1.8438364,5.798572,6.025279,0.017163867,0.13709432,0.23903652,0.3305349,2.2958071,2.167886,0.88758886,1.4068291,2.403196,2.415723,-0.025923844,-0.07171405,-0.0021700168,-0.108812094,-0.57019025,-0.61538315,0.2148669,-0.05530037,0.13234629,0.12836094,-0.035534527,0.019647563,0.24611048,0.25836766
85.109245,85.19579,2.5687,2.8802269,-116.69279,-116.65766,42.31497,46.079777,74.08241,72.08941,-3.2172265,-4.4424543,2.4209514,2.0529573,5.870965,6.0713925,-0.051152974,0.059149787,0.19272189,0.29463515,2.3882592,2.2187717,0.8926336,1.4010109,2.4883595,2.4646454,0.014897053,-0.07357205,-0.014698282,-0.111120716,0.53830624,0.49018663,0.4633794,-0.37342668,0.1659614,0.1625773,-0.059280217,-0.01655529,0.2288628,0.26033756
85.17543,85.24094,2.617844,2.950222,-116.66266,-116.60292,42.49198,46.27286,74.27947,72.34613,-3.1496987,-4.27067,2.548699,2.2594771,5.92954,6.1268673,-0.12932362,-0.013110275,0.11845892,0.25092587,2.471057,2.3035626,0.89105976,1.3781762,2.5594523,2.5311692,-0.028487824,-0.07300392,-0.015967803,-0.11061179,-0.47775856,-0.5852088,-0.5813635,-0.47520512,0.17674573,0.17747092,-0.09359852,-0.057642587,0.18873712,0.20466314
85.242676,85.28302,2.6734798,3.0108266,-116.61902,-116.55838,42.695477,46.45678,74.493454,72.57974,-3.080602,-4.0577745,2.6830165,2.4826508,6.0016456,6.164724,-0.15022054,-0.095606126,0.06941658,0.17777307,2.5503526,2.3429298,0.8944863,1.419503,2.6445467,2.5927272,-0.016235331,-0.073589146,0.009619506,-0.11135111,0.39511314,0.39035943,-0.021010023,-0.072639026,0.19943398,0.23777863,-0.089576565,-0.07131548,0.16681543,0.21031898
85.30574,85.32928,2.7372696,3.0823278,-116.55892,-116.50327,42.911423,46.665554,74.71309,72.83602,-3.0152855,-3.9119017,2.8256364,2.6806378,6.090374,6.2195783,-0.124257185,-0.11771688,0.03975801,0.12734595,2.6202583,2.400409,0.90495276,1.4553399,2.746991,2.668269,-0.014673649,-0.073182024,-0.035458535,-0.1109607,-0.30101964,-0.4455879,0.5891647,-0.2851112,0.24012297,0.23618816,-0.06192846,-0.08362286,0.15331332,0.15114425
85.36325,85.377594,2.8085554,3.1649303,-116.4892,-116.43627,43.132225,46.885513,74.940605,73.10045,-2.9552233,-3.824004,2.9758444,2.8644543,6.1887155,6.293634,-0.06941752,-0.09180055,0.031309485,0.09458994,2.6788144,2.4511926,0.9217137,1.4302446,2.8594496,2.7398334,-0.020247346,-0.07338524,-0.023126412,-0.111382216,0.21036476,0.25063202,-0.45358983,-0.5170597,0.28894734,0.27556354,-0.023113983,-0.049162634,0.15051751,0.14893915
