,Actual-P1,Actual-P2,Actual-P3,Actual-P4,Actual-P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
0,82.694,4.586,-109.668,41.247,73.208,90.9122543334961,6.3354692459106445,-113.99283599853516,46.3614616394043,61.8837890625
1,83.221,5.054000000000001,-109.187,41.659,73.644,91.27350616455078,6.887079238891602,-113.6567153930664,46.593814849853516,62.09526824951172
2,83.515,5.275999999999999,-108.95200000000001,41.8,73.836,91.74617004394531,7.6066412925720215,-113.21966552734375,46.897682189941406,62.37186050415039
3,83.962,5.682000000000001,-108.548,42.115,74.301,91.9695816040039,7.946900844573975,-113.01309204101562,47.04094314575195,62.50272750854492
4,84.04,5.742999999999999,-108.438,42.075,74.348,92.3875961303711,8.581652641296387,-112.62882995605469,47.30924606323242,62.74945831298828
5,84.29,5.919,-108.14500000000001,42.224,74.494,92.43802642822266,8.66014289855957,-112.58067321777344,47.341007232666016,62.77935791015625
6,84.419,5.933,-108.012,42.237,74.574,92.64054107666016,8.968945503234863,-112.3934097290039,47.47017288208008,62.896995544433594
7,84.688,6.124,-107.76700000000001,42.437,74.741,92.712158203125,9.078930854797363,-112.32719421386719,47.515724182128906,62.93941116333008
8,84.908,6.364000000000001,-107.484,42.711,74.868,92.9301986694336,9.409000396728516,-112.12786865234375,47.65543746948242,63.06678009033203
9,85.079,6.641,-107.16000000000001,43.022,75.097,93.15846252441406,9.754571914672852,-111.91905975341797,47.80173110961914,63.198951721191406
10,85.324,6.977999999999999,-106.78899999999999,43.429,75.397,93.4183578491211,10.147448539733887,-111.681640625,47.967857360839844,63.35118865966797
11,85.397,7.199000000000001,-106.543,43.682,75.549,93.75371551513672,10.653278350830078,-111.3776626586914,48.18265914916992,63.548179626464844
12,85.308,7.336,-106.424,43.794,75.617,93.93558502197266,10.926807403564453,-111.21249389648438,48.298648834228516,63.65419387817383
13,85.484,7.641,-106.142,44.082,75.79,93.99578857421875,11.017903327941895,-111.1566390991211,48.33649444580078,63.68882751464844
14,85.622,7.884000000000001,-105.926,44.317,75.99,94.24480438232422,11.392078399658203,-110.93140411376953,48.495338439941406,63.83453369140625
15,85.641,7.957000000000001,-105.84099999999998,44.43,76.129,94.45378112792969,11.706925392150879,-110.74293518066406,48.62955093383789,63.95905303955078
16,85.662,8.015,-105.729,44.59,76.246,94.53868865966797,11.833271026611328,-110.66744995117188,48.68367004394531,64.0096206665039
17,85.919,8.285,-105.378,45.018,76.659,94.63098907470703,11.971030235290527,-110.58526611328125,48.742374420166016,64.06426239013672
18,86.037,8.406000000000002,-105.154,45.273,76.902,94.9758071899414,12.485440254211426,-110.27885437011719,48.9633903503418,64.27059173583984
19,85.90100000000001,8.288,-105.12599999999999,45.251,76.92,95.16276550292969,12.76447582244873,-110.11285400390625,49.08345413208008,64.38236999511719
20,85.939,8.326,-104.96699999999998,45.355,77.087,95.10037994384766,12.673514366149902,-110.16746520996094,49.04265594482422,64.345703125
21,86.20400000000001,8.513,-104.674,45.676,77.449,95.19659423828125,12.818233489990234,-110.0815658569336,49.10430145263672,64.40387725830078
22,86.277,8.517,-104.569,45.78,77.638,95.4887466430664,13.251717567443848,-109.82418060302734,49.291221618652344,64.57949829101562
23,86.366,8.593,-104.38800000000002,45.885,77.874,95.58084869384766,13.389132499694824,-109.74358367919922,49.35017395019531,64.63616180419922
24,86.435,8.633000000000001,-104.178,45.97,78.078,95.71480560302734,13.58851432800293,-109.62495422363281,49.43525314331055,64.71757507324219
25,86.651,8.845000000000002,-103.825,46.244,78.399,95.82666015625,13.756482124328613,-109.52540588378906,49.50604248046875,64.78532409667969
26,86.803,9.065,-103.52700000000002,46.617,78.681,96.09918975830078,14.16182804107666,-109.28507232666016,49.6801643371582,64.9500961303711
27,86.87,9.29,-103.24499999999999,46.900999999999996,78.927,96.36150360107422,14.548216819763184,-109.05633544921875,49.84756088256836,65.10747528076172
28,86.784,9.458,-103.032,47.105,79.097,96.57483673095703,14.863343238830566,-108.86967468261719,49.983619689941406,65.2356185913086
29,86.571,9.571,-102.906,47.248,79.18,96.69393157958984,15.040234565734863,-108.76434326171875,50.058807373046875,65.30713653564453
30,86.126,9.458,-103.029,47.236000000000004,79.061,96.72346496582031,15.084832191467285,-108.73675537109375,50.07736587524414,65.32442474365234
31,85.831,9.427,-103.065,47.347,79.073,96.53852081298828,14.812825202941895,-108.89713287353516,49.95782470703125,65.21121978759766
32,85.758,9.613,-102.917,47.68300000000001,79.263,96.47249603271484,14.714933395385742,-108.95487976074219,49.91566467285156,65.17098236083984
33,85.927,10.037000000000003,-102.58400000000002,48.25000000000001,79.645,96.6224365234375,14.934450149536133,-108.8252944946289,50.011749267578125,65.26078796386719
34,85.948,10.290999999999999,-102.40199999999999,48.671,79.934,96.99839782714844,15.484667778015137,-108.50053405761719,50.25301742553711,65.48818969726562
35,85.721,10.317,-102.43000000000002,48.86599999999999,80.007,97.23088836669922,15.82260799407959,-108.30208587646484,50.4017219543457,65.62952423095703
36,85.59,10.454999999999998,-102.403,49.095,80.119,97.22554779052734,15.81328296661377,-108.30795288085938,50.398582458496094,65.62593078613281
37,85.719,10.842,-102.04,49.547,80.5,97.29475402832031,15.912437438964844,-108.24943542480469,50.442901611328125,65.66813659667969
38,85.394,10.791,-102.126,49.555,80.434,97.63383483886719,16.406301498413086,-107.9590072631836,50.65878677368164,65.87345123291016
39,85.335,11.017,-101.94100000000002,49.824,80.628,97.5128402709961,16.230789184570312,-108.0615005493164,50.58164978027344,65.80050659179688
40,85.328,11.292,-101.714,50.086,80.84,97.6650390625,16.451650619506836,-107.93128967285156,50.67826461791992,65.89173126220703
41,85.164,11.448,-101.65800000000002,50.286,80.97,97.85137939453125,16.72262954711914,-107.77153015136719,50.79624938964844,66.00533294677734
42,85.117,11.717000000000002,-101.468,50.607,81.218,97.91714477539062,16.817777633666992,-107.71527099609375,50.83863830566406,66.04512786865234
43,85.197,12.058,-101.19300000000001,51.007,81.501,98.10465240478516,17.088274002075195,-107.55672454833984,50.958187103271484,66.15990447998047
44,85.168,12.324,-100.979,51.339,81.728,98.3705825805664,17.472375869750977,-107.33129119873047,51.12875747680664,66.32378387451172
45,85.278,12.663,-100.66,51.75,82.093,98.56175231933594,17.74725341796875,-107.17041015625,51.25040817260742,66.44065856933594
46,85.51,13.078000000000001,-100.271,52.23500000000001,82.482,98.85941314697266,18.17458152770996,-106.92172241210938,51.44058609008789,66.62496185302734
47,85.695,13.477999999999998,-99.94300000000001,52.668,82.89,99.22354888916016,18.695951461791992,-106.6187744140625,51.67403793334961,66.85084533691406
48,85.727,13.699,-99.739,52.9,83.246,99.56475830078125,19.181318283081055,-106.33751678466797,51.89258575439453,67.06426239013672
49,85.659,13.806000000000001,-99.78900000000002,53.114,83.326,99.75790405273438,19.455312728881836,-106.17882537841797,52.0162239074707,67.18789672851562
50,85.524,13.804,-99.92500000000001,53.266,83.278,99.8165054321289,19.53429412841797,-106.13381958007812,52.053714752197266,67.22405242919922
51,85.364,13.718,-100.14499999999998,53.344,83.13,99.785400390625,19.48805046081543,-106.1608657836914,52.03478240966797,67.20367431640625
52,85.453,13.86,-100.177,53.631,83.207,99.68292236328125,19.340150833129883,-106.24755859375,51.97031784057617,67.13815307617188
53,85.62,14.021,-100.175,53.90800000000001,83.289,99.80523681640625,19.510047912597656,-106.14964294433594,52.050418853759766,67.21463012695312
54,85.747,14.119,-100.205,54.175,83.277,99.94888305664062,19.710147857666016,-106.0354232788086,52.143821716308594,67.30473327636719
55,85.943,14.345,-100.177,54.523,83.337,100.04405975341797,19.840740203857422,-105.96052551269531,52.205467224121094,67.36293029785156
56,86.31999999999998,14.769,-100.053,55.028,83.553,100.2278823852539,20.0943660736084,-105.81497192382812,52.32352066040039,67.47613525390625
57,86.39099999999999,14.948,-100.04999999999998,55.28699999999999,83.631,100.55810546875,20.554983139038086,-105.55077362060547,52.53813934326172,67.68531799316406
58,86.239,14.864,-100.26600000000002,55.355,83.411,100.6772232055664,20.7188720703125,-105.45756530761719,52.614585876464844,67.76005554199219
59,86.378,15.046,-100.237,55.682,83.49,100.5653076171875,20.560182571411133,-105.54869079589844,52.544036865234375,67.68755340576172
60,86.469,15.203,-100.34,55.844,83.494,100.71531677246094,20.76711654663086,-105.43091583251953,52.641666412353516,67.78182983398438
61,86.738,15.594,-100.252,56.2,83.667,100.79100036621094,20.86781883239746,-105.373291015625,52.69038391113281,67.82878875732422
62,86.863,15.791,-100.33800000000001,56.362,83.7,101.04761505126953,21.22407341003418,-105.16937255859375,52.85703659057617,67.99333190917969
63,87.019,16.064,-100.369,56.495,83.802,101.14501953125,21.35765266418457,-105.09353637695312,52.92176055908203,68.05590057373047
64,87.357,16.482,-100.19600000000001,56.761,84.064,101.278564453125,21.538681030273438,-104.98928833007812,53.00740432739258,68.14170837402344
65,87.493,16.638,-100.228,56.83,84.12,101.5645980834961,21.933107376098633,-104.76451110839844,53.19200897216797,68.3269271850586
66,87.53,16.662,-100.295,56.901999999999994,84.158,101.64576721191406,22.043989181518555,-104.7010269165039,53.24544906616211,68.38095092773438
67,87.65800000000002,16.847,-100.228,57.24600000000001,84.271,101.67396545410156,22.08022689819336,-104.68042755126953,53.263389587402344,68.3988265991211
68,87.349,16.578,-100.699,57.15599999999999,83.884,101.82884979248047,22.28955078125,-104.56258392333984,53.36373519897461,68.49837493896484
69,87.036,16.36,-101.095,57.172000000000004,83.562,101.56059265136719,21.91827964782715,-104.77494049072266,53.19247055053711,68.3222885131836
70,86.817,16.233,-101.34599999999999,57.317,83.358,101.33621215820312,21.604047775268555,-104.95548248291016,53.04930877685547,68.17488098144531
71,86.777,16.29,-101.422,57.55800000000001,83.341,101.21683502197266,21.434438705444336,-105.05294799804688,52.97321701049805,68.09654235839844
72,86.516,16.142,-101.715,57.56,83.006,101.24900817871094,21.478715896606445,-105.02864074707031,52.99543380737305,68.11709594726562
73,86.163,15.886,-102.127,57.518,82.6,101.05979919433594,21.209392547607422,-105.18269348144531,52.87333679199219,67.99056243896484
74,86.548,16.297,-101.81800000000001,58.11,82.967,100.78639221191406,20.825950622558594,-105.40393829345703,52.69892883300781,67.8130111694336
75,86.54,16.336,-101.911,58.364,82.989,101.1743392944336,21.365644454956055,-105.09508514404297,52.95077896118164,68.06316375732422
76,86.476,16.299,-101.95300000000002,58.643,82.962,101.22186279296875,21.426448822021484,-105.0607681274414,52.980735778808594,68.09172821044922
77,86.113,15.97,-102.27299999999998,58.611,82.629,101.2342300415039,21.44318962097168,-105.0531005859375,52.99028396606445,68.09890747070312
78,85.707,15.622,-102.593,58.604,82.335,100.97197723388672,21.07564926147461,-105.26402282714844,52.82255554199219,67.92781066894531
79,85.308,15.266,-102.994,58.568,82.054,100.70655059814453,20.702486038208008,-105.47926330566406,52.652915954589844,67.75684356689453
80,84.997,15.078,-103.30800000000002,58.682,81.79,100.42498016357422,20.30356788635254,-105.71007537841797,52.47314453125,67.57646179199219
81,84.544,14.808999999999997,-103.722,58.682,81.468,100.23809051513672,20.034889221191406,-105.8659439086914,52.353816986083984,67.4544448852539
82,84.303,14.829000000000002,-103.894,58.962,81.429,99.95196533203125,19.627216339111328,-106.1023178100586,52.17204284667969,67.2730712890625
83,84.02799999999999,14.822,-104.078,59.24,81.379,99.91492462158203,19.57025146484375,-106.1360092163086,52.14883804321289,67.24781036376953
84,83.751,14.755,-104.28100000000002,59.47,81.341,99.8664779663086,19.497081756591797,-106.1794662475586,52.11872482299805,67.2152328491211
85,83.662,14.848,-104.309,59.877,81.485,99.79088592529297,19.386661529541016,-106.24402618408203,52.071632385253906,67.16756439208984
86,83.583,14.895,-104.44299999999998,60.049,81.485,99.88497161865234,19.516746520996094,-106.16944885253906,52.132930755615234,67.22630310058594
87,83.478,14.91,-104.733,60.051,81.376,99.89273071289062,19.52298927307129,-106.16645812988281,52.13762283325195,67.22990417480469
88,83.171,14.694,-105.293,59.671,81.012,99.81713104248047,19.41327476501465,-106.23030853271484,52.0909423828125,67.18379211425781
89,83.079,14.694,-105.56100000000002,59.38,80.992,99.48426055908203,18.93402862548828,-106.50833129882812,51.87807846069336,66.97490692138672
90,83.364,14.979,-105.576,59.332,81.138,99.37200927734375,18.77412223815918,-106.60096740722656,51.8069953918457,66.9083251953125
91,83.554,15.277,-105.623,59.223000000000006,81.27,99.52881622314453,18.996545791625977,-106.47156524658203,51.90732955932617,67.00843811035156
92,83.518,15.347,-105.82199999999999,58.849,81.199,99.6441421508789,19.16067123413086,-106.37543487548828,51.9815559387207,67.08356475830078
93,83.562,15.425999999999998,-106.019,58.46699999999999,81.135,99.54469299316406,19.01957130432129,-106.45572662353516,51.91730499267578,67.02375030517578
94,83.811,15.574,-106.127,58.20600000000001,81.181,99.46990966796875,18.913414001464844,-106.51636505126953,51.870269775390625,66.97998809814453
95,84.095,15.64,-106.295,57.914,81.211,99.5154800415039,18.978322982788086,-106.47815704345703,51.89939498901367,67.01091766357422
96,84.38100000000001,15.736,-106.47000000000001,57.679,81.243,99.53401184082031,19.003559112548828,-106.46366119384766,51.91213607788086,67.02658081054688
97,84.667,15.802,-106.698,57.437999999999995,81.242,99.57537841796875,19.060762405395508,-106.43087768554688,51.93916702270508,67.05577850341797
98,85.065,15.942,-106.785,57.266,81.33,99.59351348876953,19.08363151550293,-106.41787719726562,51.95134353637695,67.06878662109375
99,85.357,15.862,-107.034,56.985,81.288,99.699951171875,19.23341941833496,-106.33125305175781,52.01982498168945,67.138916015625
100,85.947,16.042,-107.025,56.889,81.448,99.67109680175781,19.19097137451172,-106.35675048828125,52.00410461425781,67.1241683959961
101,86.805,16.445,-106.772,57.06399999999999,81.839,99.87409210205078,19.478134155273438,-106.19131469726562,52.1336784362793,67.25435638427734
102,87.403,16.614,-106.71799999999999,57.027,81.967,100.31427764892578,20.100292205810547,-105.83297729492188,52.41777801513672,67.5348892211914
103,87.96099999999998,16.746,-106.756,56.892,82.006,100.51954650878906,20.389497756958008,-105.66730499267578,52.549835205078125,67.66688537597656
104,88.312,16.715,-106.97099999999999,56.631,81.812,100.6672592163086,20.594411849975586,-105.54918670654297,52.645538330078125,67.76251220703125
105,88.67,16.76,-107.136,56.449,81.699,100.6385269165039,20.553476333618164,-105.57360076904297,52.62888717651367,67.74469757080078
106,89.45999999999998,17.264,-106.823,56.682,81.973,100.66279602050781,20.58460807800293,-105.5555648803711,52.645591735839844,67.7607192993164
107,89.844,17.366,-106.944,56.57399999999999,81.785,101.09074401855469,21.183645248413086,-105.21134185791016,52.92058563232422,68.03536224365234
108,90.286,17.651,-106.91,56.656000000000006,81.746,101.1386489868164,21.246885299682617,-105.17523193359375,52.95167541503906,68.06376647949219
109,90.77699999999999,17.859,-106.878,56.672,81.685,101.31376647949219,21.4910945892334,-105.03485870361328,53.06587219238281,68.17587280273438
110,90.846,17.672,-107.30700000000002,56.338,81.233,101.46673583984375,21.7025089263916,-104.91342163085938,53.16574478149414,68.2743911743164
111,91.037,17.646,-107.55400000000002,56.22699999999999,80.892,101.25799560546875,21.409292221069336,-105.08202362060547,53.0321044921875,68.13758850097656
112,91.212,17.645,-107.703,56.234,80.637,101.18791961669922,21.309406280517578,-105.1394271850586,52.98858642578125,68.08963012695312
113,91.328,17.618,-107.835,56.25399999999999,80.391,101.16780853271484,21.278457641601562,-105.15746307373047,52.97714614868164,68.07498168945312
114,91.58300000000001,17.716,-107.834,56.45499999999999,80.348,101.12903594970703,21.222591400146484,-105.18938446044922,52.95365905761719,68.0474853515625
115,91.899,17.898,-107.79599999999999,56.732,80.311,101.23333740234375,21.366174697875977,-105.10814666748047,53.02111053466797,68.11317443847656
116,92.13899999999998,18.030999999999995,-107.78400000000002,56.947,80.237,101.3965835571289,21.589853286743164,-104.98045349121094,53.12616729736328,68.21484375
117,92.185,17.906,-108.105,56.758,79.846,101.50543212890625,21.738525390625,-104.89578247070312,53.197757720947266,68.28287506103516
118,92.495,18.064,-108.11400000000002,56.78199999999999,79.743,101.34479522705078,21.513755798339844,-105.02485656738281,53.09642028808594,68.17760467529297
119,92.75000000000001,18.104,-108.214,56.672,79.566,101.43760681152344,21.64079475402832,-104.95189666748047,53.1561164855957,68.2359390258789
120,92.834,17.922,-108.429,56.32500000000001,79.233,101.44038391113281,21.644086837768555,-104.95032501220703,53.1583366394043,68.23593139648438
121,93.068,17.936,-108.37900000000002,56.14,79.072,101.27874755859375,21.420251846313477,-105.07823944091797,53.05492401123047,68.1314468383789
122,93.825,18.498999999999995,-107.788,56.57399999999999,79.563,101.28277587890625,21.427270889282227,-105.0738525390625,53.057533264160156,68.1323471069336
123,94.205,18.58,-107.711,56.534,79.631,101.80086517333984,22.148130416870117,-104.66139221191406,53.390892028808594,68.4690933227539
124,94.734,18.76,-107.54299999999999,56.549,79.778,101.9196548461914,22.311277389526367,-104.56794738769531,53.467132568359375,68.54658508300781
125,94.899,18.617,-107.758,56.27,79.632,102.12467956542969,22.59234619140625,-104.4083251953125,53.598846435546875,68.68131256103516
126,95.156,18.558999999999997,-107.89600000000002,56.065,79.485,102.03831481933594,22.47199058532715,-104.47676086425781,53.54421615600586,68.6254653930664
127,95.468,18.558,-107.949,55.857,79.4,102.00806427001953,22.430482864379883,-104.5008773803711,53.52557373046875,68.60586547851562
128,95.866,18.736999999999995,-107.86200000000001,55.846000000000004,79.411,102.02424621582031,22.453472137451172,-104.48780059814453,53.536216735839844,68.61714935302734
129,96.228,18.853,-107.788,55.86,79.613,102.1606674194336,22.64112091064453,-104.38136291503906,53.624671936035156,68.70630645751953
130,96.499,18.861999999999995,-107.76600000000002,55.837,79.534,102.31077575683594,22.845170974731445,-104.26484680175781,53.72185134887695,68.80622100830078
131,96.685,18.803,-107.848,55.67700000000001,79.396,102.35762023925781,22.911136627197266,-104.22823333740234,53.75361251831055,68.8379135131836
132,96.553,18.458999999999996,-108.16799999999999,55.258,78.954,102.3297119140625,22.87148094177246,-104.25080871582031,53.73472595214844,68.8172607421875
133,96.434,18.117,-108.44599999999998,54.824999999999996,78.505,102.04341125488281,22.479660034179688,-104.47346496582031,53.5505485534668,68.6296157836914
134,97.357,18.742999999999995,-107.70999999999998,55.455,79.193,101.76072692871094,22.091276168823242,-104.69481658935547,53.369815826416016,68.44412231445312
135,97.82099999999998,19.001,-107.44,55.699999999999996,79.462,102.40962219238281,22.982376098632812,-104.1873550415039,53.787010192871094,68.86825561523438
136,97.664,18.695999999999998,-107.73200000000001,55.39,79.127,102.68074035644531,23.352275848388672,-103.97887420654297,53.9620246887207,69.0481185913086
137,97.809,18.666,-107.705,55.40999999999999,79.134,102.44206237792969,23.023767471313477,-104.1644287109375,53.80754470825195,68.8888931274414
138,97.978,18.657999999999998,-107.70999999999998,55.448,79.097,102.47701263427734,23.073366165161133,-104.13707733154297,53.83076858520508,68.91170501708984
139,98.146,18.606,-107.763,55.412,79.053,102.50865936279297,23.11764907836914,-104.1130142211914,53.85279083251953,68.933349609375
140,98.104,18.416,-107.965,55.184,78.806,102.51738739013672,23.12696075439453,-104.1076431274414,53.857933044433594,68.93844604492188
141,98.306,18.507,-107.901,55.305,78.906,102.36614227294922,22.92028045654297,-104.2251968383789,53.76063537597656,68.83728790283203
142,98.252,18.289999999999996,-108.152,55.109,78.669,102.47447967529297,23.06730842590332,-104.14269256591797,53.8304443359375,68.90985107421875
143,98.307,18.199999999999996,-108.353,55.042,78.52,102.31634521484375,22.85215187072754,-104.26542663574219,53.73012924194336,68.80615234375
144,98.634,18.364999999999995,-108.303,55.267,78.619,102.2474594116211,22.753705978393555,-104.32111358642578,53.68579864501953,68.75943756103516
145,98.818,18.364999999999995,-108.27400000000002,55.4,78.638,102.41397094726562,22.980438232421875,-104.19381713867188,53.79467010498047,68.86896514892578
146,98.482,17.831,-108.676,55.1,78.137,102.48587799072266,23.075428009033203,-104.13994598388672,53.84066390991211,68.9154281616211
147,98.381,17.636,-108.737,55.102000000000004,77.976,102.11998748779297,22.575605392456055,-104.4256591796875,53.60673141479492,68.67391967773438
148,98.251,17.373,-108.84700000000001,55.05700000000001,77.748,102.02224731445312,22.43983268737793,-104.50328826904297,53.54338073730469,68.607421875
149,98.086,17.136,-108.919,55.107,77.554,101.87922668457031,22.242666244506836,-104.61624145507812,53.45232009887695,68.51268768310547
150,97.841,16.909,-108.963,55.196,77.425,101.75435638427734,22.069643020629883,-104.7164535522461,53.37158203125,68.42898559570312
151,97.71299999999998,16.788,-108.81700000000001,55.405,77.469,101.64033508300781,21.914405822753906,-104.8061294555664,53.29998016357422,68.35392761230469
152,97.52599999999998,16.623,-108.691,55.656,77.489,101.63945770263672,21.91217041015625,-104.80786895751953,53.29816818237305,68.35211181640625
153,96.962,16.132,-108.968,55.59899999999999,77.14,101.62637329101562,21.89458656311035,-104.81900024414062,53.29030227661133,68.34215545654297
154,96.698,15.914,-108.99399999999999,55.822,77.035,101.28679656982422,21.420732498168945,-105.09143829345703,53.07184982299805,68.12007141113281
155,96.559,15.833,-109.066,55.965,77.001,101.19670104980469,21.292919158935547,-105.16654968261719,53.0136604309082,68.05802154541016
156,96.408,15.733,-109.28299999999999,56.03099999999999,76.849,101.15379333496094,21.231273651123047,-105.20209503173828,52.987060546875,68.0301742553711
157,96.094,15.423,-109.64299999999999,55.888999999999996,76.568,101.0589599609375,21.097503662109375,-105.27993774414062,52.92779541015625,67.96904754638672
158,95.839,15.133,-109.971,55.664,76.239,100.79842376708984,20.73011016845703,-105.4925308227539,52.76207733154297,67.80221557617188
159,95.72400000000002,14.96,-110.224,55.483999999999995,76.053,100.53851318359375,20.36180305480957,-105.70466613769531,52.59522247314453,67.63493347167969
160,95.528,14.677,-110.55600000000001,55.19,75.795,100.37570190429688,20.130250930786133,-105.83895111083984,52.491966247558594,67.53125762939453
161,95.314,14.411999999999999,-110.917,54.83599999999999,75.491,100.12528228759766,19.776601791381836,-106.0447006225586,52.333351135253906,67.37480926513672
162,95.275,14.308,-111.171,54.479,75.311,99.85307312011719,19.387510299682617,-106.26998138427734,52.15956115722656,67.20325469970703
