P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
232.97606,232.85019,236.17506,237.58713,228.92316,227.61261,85.19156,86.83077,59.334366,59.68857,0.018509641,-0.0056857932,-2.3125486,-2.5553617,-0.055064443,-0.070915945,0.9660562,0.9309466,0.23935223,0.3296557,-0.0042369855,-0.027139459,-1.9535923,-1.8707863,-0.15373418,-0.13789305,0.9016171,0.9577673,0.39436814,0.53623563,-0.002383448,0.023440229,-0.7659843,-0.68017244,-0.017298386,-0.020738123,-0.29432294,-0.30004284,-0.25568056,-0.2347191
232.91,232.82722,236.18835,237.5866,228.95682,227.6141,85.18599,86.82632,59.340233,59.68864,0.06101704,0.042909842,-2.3267708,-2.5765278,-0.028923184,-0.0507587,1.0646002,1.0346866,0.3133624,0.4172957,0.03126994,0.0027387536,-1.9648753,-1.9127609,-0.16885464,-0.15707049,0.88312125,0.93141425,0.3978788,0.5309211,-0.004699764,0.023400117,-0.80008966,-0.70513934,-0.006141091,-0.021633564,-0.23128292,-0.24000873,-0.22255735,-0.20201287
232.84343,232.80724,236.20789,237.58617,228.98784,227.61638,85.18059,86.82421,59.344307,59.689148,0.097545676,0.09317786,-2.334223,-2.5970745,-0.0014728358,-0.023144605,1.1616681,1.1443313,0.3846111,0.5038387,0.05205667,0.035697885,-1.966487,-1.954761,-0.18905699,-0.17719175,0.859478,0.9054545,0.39636293,0.521133,0.0076861675,0.02341859,-0.82400495,-0.73670405,0.004867294,-0.021230314,-0.16556814,-0.1775894,-0.18887107,-0.167542
232.77127,232.78667,236.21951,237.58601,229.02118,227.61867,85.171524,86.82278,59.344944,59.689556,0.1221723,0.13670948,-2.3492925,-2.611289,0.03223054,0.005939028,1.2531489,1.2520295,0.4513077,0.58655494,0.044640876,0.05489216,-1.9733131,-1.9702888,-0.2066342,-0.19836375,0.82613844,0.8787951,0.3878818,0.5124103,0.014417402,0.023503065,-0.85348403,-0.800317,0.0017564956,-0.020874945,-0.103409715,-0.14477772,-0.15730244,-0.16201954
232.69495,232.76291,236.2281,237.5824,229.05396,227.62001,85.154816,86.820045,59.33753,59.68854,0.13677368,0.16749917,-2.3671355,-2.6320426,0.06901935,0.04172345,1.3349022,1.3535901,0.5087544,0.6630345,0.0132375695,0.04847295,-1.9805806,-1.9619722,-0.22225021,-0.21139619,0.77879614,0.8525656,0.36770585,0.50809973,-0.009251016,0.023533622,-0.88339305,-0.84500253,-0.016906487,-0.021067413,-0.05032228,-0.094207555,-0.13284563,-0.14358987
232.62535,232.73398,236.23328,237.5744,229.09593,227.62106,85.13927,86.81536,59.333347,59.685238,0.15356368,0.18697594,-2.3880594,-2.6549191,0.118649505,0.08079543,1.4158345,1.4439605,0.5684485,0.7275936,-0.018970005,0.020195806,-1.9885986,-1.929429,-0.2227544,-0.21769631,0.7268427,0.8205302,0.34781584,0.50092137,-0.009803764,0.023386326,-0.91340023,-0.7944553,-0.013256864,-0.021807093,0.0030351186,0.023195215,-0.10194467,-0.0674477
232.56752,232.70793,236.24236,237.56888,229.13805,227.62346,85.12492,86.81167,59.335793,59.682854,0.17842776,0.21011998,-2.4047096,-2.681898,0.17083845,0.1332249,1.4960127,1.533223,0.6338396,0.7946422,-0.037445147,-0.009297028,-1.9898663,-1.9021074,-0.2180994,-0.21130905,0.6706075,0.78471625,0.3319025,0.49229968,-0.006706428,0.02339746,-0.93491834,-0.8225101,-0.009746418,-0.02170224,0.056533318,0.078441426,-0.060304567,-0.036205478
232.51985,232.6885,236.25461,237.56905,229.18605,227.62738,85.11155,86.80644,59.338795,59.68267,0.20938598,0.2424895,-2.417828,-2.7060204,0.2303481,0.18803023,1.5750828,1.6216234,0.6986349,0.86802727,-0.043175783,-0.026383085,-1.9852686,-1.8840901,-0.2026159,-0.20328529,0.60981965,0.74042314,0.31342524,0.48125824,0.008507444,0.023429891,-0.9485516,-0.8532579,-0.0046175644,-0.021614097,0.10908424,0.12629956,-0.015804144,-0.0012761655
232.47482,232.6735,236.25354,237.5723,229.22939,227.63354,85.093315,86.801155,59.33158,59.683254,0.23772712,0.2823188,-2.4440968,-2.7280962,0.28478724,0.25009176,1.6470548,1.7083989,0.7517806,0.94014996,-0.049911246,-0.03201709,-1.9919171,-1.8779334,-0.18981823,-0.18868445,0.5384169,0.6866155,0.2809965,0.46050867,0.0029204863,0.023520425,-0.9718977,-0.91250116,-0.016081866,-0.021489441,0.153518,0.14714804,0.018451301,0.012948855
232.42879,232.6544,236.25578,237.56787,229.2743,227.63779,85.07314,86.79514,59.321598,59.680622,0.25882784,0.31871986,-2.4667275,-2.7604675,0.3394438,0.30612612,1.7148011,1.7871219,0.8007574,0.99913377,-0.06572673,-0.038502034,-1.9926887,-1.881007,-0.17334889,-0.17587116,0.4595841,0.6215842,0.2423631,0.42530861,-0.005557741,0.023479378,-0.98614985,-0.9111398,-0.003233598,-0.021971434,0.19260876,0.21099512,0.05065943,0.060454432
232.38536,232.63423,236.26102,237.56325,229.3185,227.64232,85.05071,86.78912,59.305706,59.677494,0.27616403,0.34709015,-2.4859438,-2.7891552,0.39045084,0.3620225,1.7779945,1.8607934,0.8424857,1.0530077,-0.085341826,-0.053429373,-1.9877721,-1.870307,-0.15677775,-0.15777487,0.37335423,0.551394,0.1946959,0.3865994,0.0076271086,0.023475405,-0.99064213,-0.90789515,0.031984854,-0.0214791,0.22608216,0.2638574,0.078444906,0.10640582
232.3447,232.61372,236.26141,237.55698,229.3539,227.6468,85.02706,86.78273,59.29245,59.67353,0.28962225,0.37077406,-2.5096939,-2.8140035,0.428232,0.41366592,1.837645,1.9295777,0.8856889,1.0983756,-0.105591014,-0.07182474,-1.9853623,-1.8508955,-0.1494731,-0.13864507,0.28112268,0.47383884,0.14726938,0.33945218,-0.013867135,0.023617197,-0.99351454,-0.9713398,0.044218533,-0.020132769,0.25509715,0.2578438,0.1125448,0.103762925
232.30725,232.5937,236.25584,237.5515,229.38866,227.65015,84.99521,86.77595,59.279804,59.66969,0.29936397,0.3891195,-2.539105,-2.8416018,0.46040827,0.45170233,1.8866782,1.9947673,0.9283823,1.1452142,-0.122101046,-0.09043263,-1.9866155,-1.8301048,-0.14027622,-0.12729748,0.1760555,0.39039934,0.09837884,0.2943681,0.009023155,0.023553867,-0.99526054,-0.92035544,0.036750786,-0.019625017,0.2723592,0.32611144,0.15159458,0.17527819
232.27083,232.5749,236.24692,237.5462,229.42036,227.65347,84.95513,86.76605,59.262512,59.665634,0.3028064,0.40300027,-2.5714638,-2.8736994,0.48387888,0.48381472,1.9251378,2.0488424,0.96524966,1.1914496,-0.13298018,-0.10555055,-1.9886467,-1.8167229,-0.12927967,-0.11490088,0.058978766,0.29202637,0.04285659,0.2457224,0.011962273,0.023657763,-0.99177223,-0.983881,0.0018462541,-0.019991191,0.27924043,0.30234694,0.19010693,0.17367013
232.24057,232.55298,236.2296,237.53995,229.44809,227.65616,84.91228,86.75402,59.237892,59.66034,0.30527857,0.4089042,-2.6116314,-2.9071116,0.49722108,0.5072292,1.958944,2.0913882,0.9937353,1.2311212,-0.1263733,-0.11548592,-1.9960206,-1.8107665,-0.11436839,-0.101861134,-0.06275146,0.1776739,-0.021395402,0.1871726,-0.022003906,0.023611428,-0.98604625,-0.9689191,-0.04231756,-0.021405157,0.28480294,0.31812334,0.22659792,0.21144143
232.22191,232.53052,236.23813,237.52907,229.47957,227.65747,84.88064,86.742355,59.22606,59.652897,0.312063,0.41312632,-2.6248014,-2.9464138,0.5084813,0.52048385,2.0026457,2.1293018,1.0345026,1.2616297,-0.0939206,-0.10979144,-1.9728779,-1.8294128,-0.082756825,-0.08870487,-0.17273267,0.048323255,-0.07255121,0.1109459,-0.007664493,0.023378126,-0.9387205,-0.8404556,-0.04416907,-0.023111226,0.3077498,0.4046955,0.2857107,0.3065801
232.21031,232.51892,236.26749,237.53012,229.51796,227.66309,84.86919,86.731766,59.23699,59.650814,0.3171333,0.42188242,-2.616056,-2.961488,0.5206626,0.5319897,2.0655334,2.1775248,1.0976963,1.3051838,-0.04799816,-0.08118187,-1.9244888,-1.8520365,-0.028819548,-0.06557951,-0.26052344,-0.084006034,-0.09993786,0.03376062,0.009527086,0.023461778,-0.85529804,-0.837747,-0.0060203723,-0.023269804,0.35925,0.40250513,0.3780717,0.3382026
232.19315,232.51929,236.28944,237.54482,229.55774,227.67223,84.859665,86.72477,59.24347,59.6555,0.30554318,0.42897597,-2.614138,-2.958805,0.52737,0.54489255,2.1289012,2.2472954,1.1554892,1.3719305,-0.01483145,-0.04048082,-1.8807093,-1.8719041,0.040350955,-0.023676697,-0.34523576,-0.20436981,-0.13222997,-0.029199224,0.014021607,0.023651578,-0.7687404,-0.8339701,0.01218911,-0.021904536,0.4177851,0.40875006,0.4694174,0.39121395
232.16628,232.51624,236.30547,237.55449,229.60234,227.68024,84.84956,86.719734,59.243534,59.658516,0.27191356,0.41688338,-2.6177375,-2.9599946,0.5314247,0.5525305,2.1900506,2.31659,1.2056643,1.4313493,-0.0033658321,-0.011538,-1.8406906,-1.8893389,0.12601106,0.03718832,-0.42963213,-0.32092682,-0.17191365,-0.095177025,0.011277419,0.023740163,-0.6796359,-0.77559304,-0.00075512787,-0.021313652,0.4784781,0.45336157,0.5533715,0.4618019
232.13933,232.50803,236.31573,237.55917,229.64659,227.68779,84.84269,86.71511,59.24314,59.659508,0.22645596,0.3794128,-2.6267292,-2.964679,0.5266031,0.55794835,2.2527525,2.3835285,1.2541974,1.4814057,0.0049441108,-0.0029517596,-1.8044506,-1.8939482,0.21773835,0.12076805,-0.5095868,-0.43214816,-0.21276692,-0.16260086,-0.025680484,0.023726573,-0.588589,-0.6699865,-0.026820207,-0.021966135,0.5438673,0.5236847,0.6340208,0.533676
232.12602,232.49883,236.3387,237.56125,229.68764,227.69417,84.845604,86.71218,59.249565,59.659843,0.18368314,0.3278087,-2.62242,-2.972285,0.50916123,0.554494,2.3235493,2.4508576,1.3084286,1.528775,0.034208134,0.0026198367,-1.7530934,-1.9017037,0.30725282,0.21221206,-0.5782242,-0.5404533,-0.24716754,-0.23176295,-0.016077315,0.02352617,-0.4764115,-0.45010588,-0.018788839,-0.023085004,0.6190176,0.65171736,0.7168868,0.629741
232.11635,232.49864,236.36238,237.56975,229.7343,227.7024,84.855896,86.71099,59.258873,59.6632,0.13188961,0.27787185,-2.617161,-2.9674,0.4879576,0.5390888,2.3996484,2.5269964,1.3641889,1.5818055,0.06870281,0.028015157,-1.6996379,-1.9165177,0.39993006,0.29685962,-0.6388148,-0.64951795,-0.27949005,-0.30513203,0.015627578,0.023610517,-0.35833848,-0.3623299,0.05020695,-0.022957787,0.69725734,0.70158213,0.79367507,0.6731716
232.0936,232.50034,236.35887,237.57953,229.77722,227.71185,84.84702,86.712036,59.258373,59.66738,0.05209792,0.21685086,-2.639172,-2.9605982,0.4526596,0.5199863,2.4536917,2.6080546,1.4083704,1.6346545,0.080543354,0.058279768,-1.6732619,-1.9366204,0.4790752,0.38104382,-0.7201158,-0.75569224,-0.32336593,-0.3807229,0.0372288,0.02391603,-0.26656896,-0.36763373,0.082432255,-0.020427577,0.7448342,0.7061187,0.84580845,0.69123673
232.04837,232.49197,236.34004,237.57994,229.8132,227.71712,84.82019,86.70911,59.243214,59.666977,-0.06566522,0.12234517,-2.676471,-2.9752047,0.3997767,0.4869511,2.4868076,2.6655307,1.4359429,1.67436,0.06155144,0.06763941,-1.6615859,-1.9539641,0.53609663,0.45123714,-0.82074356,-0.8702672,-0.38388562,-0.45417517,-0.008922656,0.024096012,-0.18784562,-0.34979802,0.018944327,-0.019303042,0.7612811,0.7067478,0.8652951,0.7030145
231.99837,232.46884,236.33325,237.56908,229.84998,227.71841,84.79723,86.70215,59.222603,59.66103,-0.20074052,-0.017935904,-2.7010102,-2.9997177,0.3376273,0.43582502,2.5214598,2.7009573,1.4564127,1.6952935,0.052684087,0.04861018,-1.6354433,-1.9445356,0.57698274,0.50145185,-0.9164764,-0.98364425,-0.45083654,-0.52355033,-0.0152272275,0.023757296,-0.090040036,-0.08438968,-0.0680193,-0.021850187,0.7719085,0.8002448,0.86271733,0.74935293
231.96373,232.44345,236.34311,237.55612,229.88568,227.71988,84.78662,86.69744,59.20817,59.65486,-0.3290625,-0.17967053,-2.707928,-3.0096152,0.26475593,0.37492982,2.566507,2.7372236,1.4817739,1.7084959,0.09751185,0.03921065,-1.589502,-1.9262136,0.59732956,0.53430897,-0.9971904,-1.0935273,-0.5112997,-0.6007957,-0.011738455,0.023551844,0.033189643,0.08615396,-0.0924068,-0.02540781,0.7871956,0.8331337,0.85253644,0.7536425
231.9471,232.42802,236.36899,237.55049,229.91782,227.72441,84.79111,86.69524,59.203987,59.651794,-0.4461444,-0.33402726,-2.6978467,-3.0037577,0.17913623,0.30223843,2.6246572,2.7835526,1.5162653,1.7265897,0.1983057,0.080688864,-1.5244446,-1.9393388,0.592817,0.5445791,-1.059849,-1.2131253,-0.56051445,-0.6946205,-0.011924959,0.023514086,0.18041708,0.21980211,-0.024352271,-0.026494294,0.8088718,0.84427667,0.83978677,0.7478086
231.93802,232.42311,236.41772,237.55269,229.95338,227.73085,84.79636,86.696175,59.20513,59.652794,-0.56281245,-0.47542906,-2.6640556,-2.9826493,0.08880771,0.21502893,2.6809642,2.8427033,1.55477,1.7539369,0.3181215,0.16913122,-1.4340574,-1.9854784,0.5710512,0.52987117,-1.1203676,-1.3392849,-0.6037001,-0.8012568,0.025170708,0.023641301,0.35558772,0.34211838,0.08987221,-0.02395472,0.8174483,0.84642076,0.8173733,0.7420453
231.91391,232.4245,236.4483,237.56403,229.98293,227.74109,84.78113,86.69592,59.194042,59.65684,-0.7028462,-0.6157568,-2.6484332,-2.9407077,-0.015236397,0.121591575,2.7134655,2.8993845,1.5792884,1.7841532,0.39582387,0.25884014,-1.3619756,-2.0209656,0.5214995,0.4979939,-1.2018896,-1.4683846,-0.65936184,-0.90882087,-0.002335201,0.024034668,0.50914454,0.3853989,0.11810677,-0.01959052,0.78610516,0.7794484,0.7637388,0.7001252
231.87251,232.41411,236.4488,237.56624,230.01369,227.74786,84.75135,86.69085,59.171738,59.65626,-0.86727786,-0.78115827,-2.6632078,-2.9112546,-0.124283224,0.012282029,2.7280898,2.931991,1.5908239,1.7994233,0.4065629,0.3061724,-1.3212459,-2.016836,0.4543512,0.44461527,-1.2980397,-1.5840435,-0.7262882,-0.9971071,0.023579085,0.023945564,0.62482053,0.5837099,0.037907675,-0.01845108,0.7208648,0.7820988,0.6801117,0.69032156
231.81816,232.39128,236.44647,237.55656,230.04286,227.75018,84.711975,86.683395,59.143116,59.650448,-1.0480973,-0.96967703,-2.6807168,-2.9075716,-0.23999575,-0.10357985,2.7301905,2.9466405,1.5945532,1.8012941,0.35348874,0.3115816,-1.2835474,-1.9624774,0.36927179,0.380234,-1.4021598,-1.6677529,-0.7985401,-1.0514396,-0.0049221586,0.023887372,0.7320665,0.66583,-0.08486896,-0.021825455,0.63007635,0.7084191,0.57502854,0.61719954
231.77481,232.36172,236.45268,237.54242,230.07292,227.75099,84.68267,86.67442,59.12348,59.64261,-1.2156726,-1.1700903,-2.6893096,-2.9036202,-0.35838795,-0.22693577,2.7401469,2.9489188,1.6063216,1.7945389,0.27791828,0.28056252,-1.2366799,-1.8321083,0.2726328,0.30503476,-1.4918387,-1.715482,-0.8590871,-1.0688168,-0.029268688,0.02348559,0.84402764,0.82683176,-0.13040656,-0.026642451,0.5394784,0.70228964,0.46999517,0.57939166
231.75145,232.33966,236.47421,237.53462,230.10542,227.75392,84.67084,86.66683,59.12723,59.63773,-1.3566747,-1.3501322,-2.6820798,-2.8932822,-0.4765414,-0.35348988,2.7657008,2.9589741,1.6408573,1.7955447,0.19966282,0.23078434,-1.1736307,-1.6644895,0.1696849,0.22049873,-1.5581555,-1.7319971,-0.89241153,-1.0595695,-0.010047257,0.023261892,0.9673945,0.93505883,-0.05197507,-0.028371908,0.45995346,0.66879314,0.38359314,0.53000855
231.74084,232.33363,236.50218,237.54207,230.13217,227.76022,84.66759,86.66159,59.13664,59.63975,-1.476897,-1.4975818,-2.6682017,-2.8717644,-0.60172087,-0.47976357,2.7976456,2.9847205,1.6799128,1.8185058,0.105666585,0.17269038,-1.1042463,-1.4764904,0.054520376,0.1307594,-1.6106083,-1.7223662,-0.9174184,-1.0227712,0.013081566,0.023483275,1.0897478,0.976065,0.06519787,-0.025346994,0.38140026,0.5403565,0.29468054,0.43091565
231.71805,232.33461,236.50984,237.55388,230.15897,227.7676,84.652054,86.658394,59.128185,59.643917,-1.6016583,-1.6206414,-2.6749287,-2.8451264,-0.7262136,-0.6129828,2.8144064,3.0166862,1.6992644,1.8468578,-0.04223666,0.09593988,-1.0569549,-1.2652566,-0.061321452,0.03533096,-1.6718677,-1.6881112,-0.95935273,-0.96805876,0.02108401,0.023804935,1.178755,1.0032202,0.13453081,-0.020692242,0.2792684,0.36753732,0.17462279,0.29776862
