P1,P2,P3,P4,P5
37.9466,-22.970952,-141.04746,4.979788,48.786256
37.974408,-22.932888,-141.04746,5.032512,48.839952
38.026124,-22.95192,-141.008412,4.991504,48.841908
38.00758,-22.897264,-141.08114,5.002736,48.811156
38.014904,-22.94704,-141.024524,4.9876,48.821892
37.93294,-23.02756,-141.049416,4.943668,48.766236
37.99392,-22.940208,-141.065028,4.99102,48.840932
38.045148,-22.95436,-141.04258,4.965636,48.82238
37.969532,-22.989984,-140.997668,4.98516,48.80774
37.988556,-22.960216,-141.007436,5.018356,48.826288
38.080272,-22.931424,-140.92788,5.03544,48.83654
38.079784,-22.974856,-141.015736,5.022748,48.86388
38.005628,-22.931424,-140.935204,5.025188,48.82238
38.02466,-22.874328,-140.900548,5.04618,48.864856
38.078808,-22.872864,-140.977172,5.05448,48.875104
38.071496,-22.862616,-140.813184,5.067172,48.907324
38.045148,-22.86164,-140.80244,5.113544,48.934172
38.10418,-22.845536,-140.924952,5.126236,48.926368
38.098328,-22.905072,-140.90348,5.103292,48.832148
38.144672,-22.836264,-140.751196,5.176028,48.916112
38.160772,-22.822112,-140.890296,5.170172,48.969324
38.164672,-22.855296,-140.860524,5.156504,48.926368
38.122716,-22.796736,-140.781456,5.14088,48.948328
38.113452,-22.842608,-140.822948,5.140392,48.985432
38.164672,-22.816256,-140.751684,5.21752,48.984456
38.146624,-22.787952,-140.817088,5.253156,48.980556
38.143696,-22.800152,-140.794152,5.222404,48.948328
38.169556,-22.791856,-140.728748,5.2102,48.991292
38.15248,-22.782096,-140.779992,5.202388,49.020588
38.189068,-22.757208,-140.7063,5.244856,49.067932
38.238832,-22.753304,-140.731188,5.284888,49.07282
38.180284,-22.771848,-140.742908,5.245832,49.044996
38.116864,-22.784536,-140.76682,5.230212,49.024976
38.159796,-22.80064,-140.68678,5.207756,49.004964
38.140284,-22.81284,-140.737048,5.15406,48.967372
38.062712,-22.834312,-140.825868,5.147228,48.960536
38.168092,-22.750864,-140.68434,5.208736,49.035716
38.223224,-22.78356,-140.765844,5.178956,49.03816
38.216388,-22.723048,-140.705324,5.221428,49.073304
38.109544,-22.785512,-140.759984,5.171148,49.012768
38.181752,-22.784048,-140.803908,5.196044,49.028392
38.167604,-22.772824,-140.715076,5.166752,49.062568
38.145648,-22.787952,-140.740956,5.136,49.032788
38.224684,-22.720608,-140.680432,5.211176,49.101136
38.170532,-22.7372,-140.628212,5.224844,49.066956
38.227124,-22.743056,-140.755592,5.187256,49.038648
38.230048,-22.719632,-140.717528,5.16236,49.105528
38.110036,-22.814792,-140.691164,5.122332,49.023024
38.234444,-22.708896,-140.717528,5.203364,49.10992
38.185168,-22.780144,-140.720936,5.156012,49.058668
38.151988,-22.795272,-140.641872,5.17798,49.050848
38.1959,-22.704504,-140.710204,5.2102,49.076728
38.131012,-22.76648,-140.674084,5.155036,49.061592
38.176872,-22.714264,-140.601844,5.21996,49.123592
38.169068,-22.74696,-140.714588,5.227284,49.091856
38.173456,-22.709872,-140.605748,5.217032,49.122612
38.196388,-22.698648,-140.667736,5.20434,49.13726
38.24322,-22.650824,-140.651136,5.269264,49.168996
38.274932,-22.637648,-140.568176,5.290256,49.187536
38.24176,-22.66888,-140.620888,5.258036,49.192424
38.198828,-22.723536,-140.661388,5.18384,49.103576
38.308112,-22.622032,-140.543272,5.30734,49.179732
38.32372,-22.521016,-140.484228,5.351764,49.29836
38.26908,-22.601048,-140.525708,5.291232,49.256372
38.323228,-22.55908,-140.502284,5.310756,49.264192
38.272496,-22.639112,-140.56134,5.268776,49.241724
38.349084,-22.525408,-140.460304,5.361528,49.326672
38.377388,-22.482952,-140.4359,5.390816,49.327644
38.347136,-22.52736,-140.441272,5.362988,49.323256
38.369092,-22.484416,-140.371472,5.394232,49.31886
38.396412,-22.521016,-140.428088,5.370804,49.306164
38.417388,-22.453184,-140.362696,5.41132,49.404296
38.406172,-22.499544,-140.38368,5.388864,49.351088
38.393976,-22.504424,-140.40564,5.385448,49.33546
38.401288,-22.437568,-140.354884,5.428892,49.378424
38.441784,-22.411216,-140.298268,5.42938,49.43114
38.440808,-22.427808,-140.343652,5.426936,49.424312
38.43788,-22.37852,-140.298756,5.483076,49.440416
38.426172,-22.359,-140.234816,5.46892,49.481428
38.427636,-22.355096,-140.277284,5.471848,49.430164
38.500328,-22.318008,-140.210412,5.503092,49.48582
38.451048,-22.374128,-140.248976,5.423524,49.5117
38.536916,-22.314104,-140.197716,5.496744,49.500464
38.498376,-22.299464,-140.187476,5.527012,49.512672
38.53058,-22.276528,-140.185036,5.520176,49.497536
38.553992,-22.27848,-140.20066,5.48796,49.531708
38.523256,-22.270184,-140.180152,5.520176,49.535132
38.53448,-22.232608,-140.125488,5.54312,49.556612
38.624244,-22.165264,-140.048864,5.616832,49.61714
38.587164,-22.2248,-140.142564,5.573872,49.549768
38.607164,-22.165752,-140.063988,5.61976,49.634716
38.597412,-22.155992,-140.042516,5.58266,49.6313
38.63156,-22.172096,-140.096204,5.557764,49.665472
38.641804,-22.076444,-140.00298,5.601696,49.697692
38.59156,-22.121828,-140.01128,5.579244,49.638616
38.636444,-22.075956,-139.97174,5.642704,49.708924
38.563264,-22.139884,-140.033728,5.56704,49.651312
38.628148,-22.108656,-139.978576,5.624644,49.7182
38.599852,-22.102796,-140.014208,5.60902,49.687928
38.64132,-22.118904,-139.962476,5.631964,49.677672
38.676448,-22.07498,-139.898048,5.67834,49.745532
38.697424,-22.023252,-139.933192,5.615364,49.7055
38.677424,-22.037404,-139.878528,5.6222,49.76994
38.663764,-22.05546,-139.93954,5.634892,49.7963
38.683276,-21.992508,-139.897072,5.667112,49.793864
38.660344,-22.035452,-139.907812,5.624644,49.777264
38.724256,-22.01398,-139.845824,5.667596,49.789472
38.700844,-21.9725,-139.800428,5.719832,49.847564
38.724256,-21.968596,-139.857532,5.712508,49.862696
38.793048,-21.97738,-139.807264,5.685172,49.787024
38.686696,-22.021788,-139.845824,5.680288,49.859284
38.66474,-22.00666,-139.931236,5.661744,49.85244
38.734992,-21.97738,-139.839964,5.6593,49.875872
38.67254,-21.972012,-139.804832,5.689076,49.818272
38.710108,-21.958348,-139.798488,5.688588,49.897356
38.727668,-21.983724,-139.80238,5.6305,49.90858
38.643268,-22.01154,-139.876088,5.636848,49.86026
38.694496,-21.9725,-139.819472,5.653932,49.898328
38.704744,-21.96762,-139.756508,5.640752,49.877824
38.718404,-21.945172,-139.734544,5.75254,49.962288
38.681812,-21.977868,-139.81996,5.699328,49.889056
38.593996,-21.963228,-139.775536,5.650024,49.903216
38.688152,-21.950052,-139.7526,5.662228,49.93006
38.693028,-21.97738,-139.805812,5.68566,49.913472
38.694984,-21.914916,-139.78042,5.724224,49.935924
38.669128,-21.954932,-139.749184,5.712996,49.90956
38.679372,-21.973964,-139.8219,5.687124,49.898328
38.705232,-21.917356,-139.736488,5.682244,49.922748
38.683276,-21.900764,-139.718444,5.705672,49.891992
38.702788,-21.866604,-139.707216,5.739848,49.987672
38.617412,-21.940292,-139.705748,5.692492,49.962288
38.633516,-21.927604,-139.779932,5.698352,49.924208
38.663276,-21.896372,-139.723804,5.708604,49.962288
38.6823,-21.952004,-139.734544,5.65686,49.932012
38.716448,-21.865628,-139.709168,5.72032,50.000848
38.610584,-21.893932,-139.723316,5.649052,49.97596
38.562776,-21.922724,-139.759436,5.633428,49.929088
38.575948,-21.889052,-139.758948,5.6881,49.978392
38.647176,-21.897348,-139.716492,5.656372,50.007684
38.581312,-21.898324,-139.781884,5.625128,49.957892
38.620344,-21.92126,-139.749672,5.655396,49.951544
38.534968,-21.944196,-139.817516,5.630988,49.926648
38.5779,-21.907596,-139.79214,5.638308,49.95008
38.576436,-21.848548,-139.708192,5.735452,50.00622
38.500328,-21.890516,-139.745764,5.6593,49.94666
38.519356,-21.902228,-139.720876,5.650512,49.96424
38.501788,-21.958836,-139.776512,5.586564,49.948132
38.584728,-21.917356,-139.72722,5.625128,49.995972
38.592048,-21.850988,-139.721852,5.671016,50.02868
38.533992,-21.910036,-139.761388,5.592912,49.985228
38.599364,-21.844644,-139.651576,5.700792,50.049664
38.565704,-21.83586,-139.710144,5.685172,50.061388
38.535936,-21.87978,-139.735036,5.623668,50.05016
38.62522,-21.858308,-139.668652,5.69298,50.036488
38.546184,-21.885636,-139.705748,5.704696,50.05064
38.592048,-21.79682,-139.62278,5.734476,50.067736
38.573992,-21.788036,-139.627648,5.730568,50.03698
38.492036,-21.862212,-139.742348,5.675896,50.0028
38.546672,-21.858796,-139.71062,5.708604,50.021356
38.531548,-21.834884,-139.691588,5.704212,50.006708
38.541796,-21.835372,-139.691588,5.683708,50.069196
38.534968,-21.883684,-139.719896,5.68566,50.020868
38.461296,-21.939316,-139.783348,5.608532,49.941784
38.523256,-21.878316,-139.704772,5.670528,50.048688
38.539844,-21.865628,-139.688672,5.686636,50.0028
38.520332,-21.876364,-139.723316,5.674432,50.035028
38.503252,-21.919796,-139.712096,5.6305,50.001344
38.39934,-21.959812,-139.771144,5.560204,49.984252
38.410072,-21.874412,-139.777016,5.612436,50.019404
38.502764,-21.84806,-139.657924,5.5934,49.99402
38.394464,-21.97494,-139.83362,5.535796,49.956432
38.452028,-21.920284,-139.773096,5.569968,49.992548
38.422264,-21.93834,-139.73894,5.562644,50.006708
38.405684,-21.941268,-139.776036,5.525548,50.014032
38.408604,-21.880756,-139.736488,5.55874,50.000368
38.333476,-21.974452,-139.791652,5.50358,49.922748
38.332012,-21.919796,-139.767236,5.549464,49.987188
38.413976,-21.879292,-139.737964,5.572408,50.01062
38.433,-21.91638,-139.745288,5.58266,49.999872
38.417876,-21.922236,-139.729664,5.541168,49.981324
38.337376,-21.965668,-139.8141,5.5275,49.936408
38.336888,-21.956884,-139.777492,5.548976,49.98474
38.303228,-22.000804,-139.82776,5.49528,49.932012
38.290056,-21.992508,-139.820936,5.465504,49.912
38.323228,-21.941268,-139.797984,5.500652,49.948616
38.305672,-21.985188,-139.847292,5.492352,49.892968
38.377388,-21.959812,-139.8219,5.500652,49.913472
38.31396,-21.948588,-139.854604,5.4904,49.957892
38.232488,-21.990068,-139.866808,5.453788,49.951544
38.28274,-21.975916,-139.832152,5.477708,49.922252
38.3125,-21.948588,-139.815564,5.5109,49.96472
38.320796,-21.958836,-139.793604,5.542632,49.949592
38.35348,-21.946636,-139.78628,5.527012,49.977416
38.225172,-22.044236,-139.86974,5.396672,49.879296
38.282252,-21.980796,-139.812636,5.465504,49.941292
38.313476,-21.979332,-139.833128,5.465016,49.95594
38.25786,-21.9847,-139.830688,5.506996,49.94618
38.26664,-21.965668,-139.785792,5.531892,49.970588
38.223708,-22.005684,-139.882924,5.434752,49.933972
38.206636,-22.020812,-139.848268,5.43914,49.944228
38.19834,-22.03594,-139.852648,5.401556,49.932508
38.175896,-22.028132,-139.891212,5.433284,49.902728
38.130524,-22.069124,-139.909764,5.415224,49.869532
38.175896,-22.049604,-139.84778,5.418152,49.938856
38.12028,-22.106704,-139.934656,5.338584,49.838288
38.172484,-22.0579,-139.868764,5.36592,49.88076
38.116376,-22.096452,-139.91122,5.346884,49.8666
38.163216,-22.099872,-139.941492,5.353716,49.881244
38.132964,-22.11158,-139.9,5.366896,49.883692
38.034908,-22.21504,-139.98004,5.281468,49.807532
38.067104,-22.169656,-139.96736,5.275612,49.85196
38.030024,-22.190152,-139.992736,5.302948,49.792888
38.085644,-22.182344,-139.97516,5.284396,49.809972
38.072468,-22.147696,-139.929284,5.244856,49.889544
38.01588,-22.185272,-139.984924,5.289768,49.813384
38.052956,-22.14428,-139.93612,5.321988,49.822664
38.071008,-22.158432,-139.950756,5.264384,49.83438
38.042708,-22.243344,-139.978088,5.245832,49.812408
38.066612,-22.17014,-139.946364,5.32638,49.878808
38.049052,-22.151112,-139.931728,5.301484,49.854396
38.04466,-22.16136,-139.906348,5.30734,49.86416
38.04076,-22.089136,-139.885852,5.31808,49.911028
38.053444,-22.175512,-139.950756,5.229236,49.84414
38.083204,-22.135004,-139.880468,5.354204,49.875872
38.06076,-22.108164,-139.904884,5.32882,49.915424
38.008556,-22.150132,-139.970764,5.224844,49.891016
38.08662,-22.128176,-139.885352,5.310268,49.912492
38.06808,-22.121828,-139.914648,5.326868,49.912976
38.056856,-22.125248,-139.91952,5.290744,49.959356
38.042708,-22.115484,-139.881444,5.277564,49.959356
37.910008,-22.196496,-139.97516,5.247788,49.865136
38.089056,-22.077908,-139.865832,5.345908,49.952032
38.066612,-22.095964,-139.898536,5.298064,49.96668
38.067104,-22.110604,-139.885352,5.33712,49.97596
38.071008,-22.099872,-139.88242,5.298552,49.941784
38.033928,-22.142816,-139.958568,5.284396,49.945204
38.091008,-22.08474,-139.852648,5.357132,50.016472
38.079784,-22.1433,-139.909764,5.308804,49.909076
38.025636,-22.13452,-139.90244,5.293184,49.933484
38.039296,-22.107188,-139.843384,5.331264,49.970092
38.059296,-22.1311,-139.901464,5.28928,49.959844
38.067592,-22.129152,-139.887304,5.272192,50.012572
38.107592,-22.104748,-139.868272,5.373244,50.01208
38.08418,-22.083764,-139.843384,5.370804,50.03112
38.136872,-21.967132,-139.75016,5.408876,50.103368
